--------------------------------------------------------------------------------
Marvellous Infosystem Process Logger : Sun Nov 20 22:18:07 2022 
--------------------------------------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.22265625}
{'name': 'wininit.exe', 'pid': 124, 'username': None, 'vms': 1.5390625}
{'name': 'Registry', 'pid': 160, 'username': None, 'vms': 6.76953125}
{'name': 'MfeBrowserHost.exe', 'pid': 312, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 4.69921875}
{'name': 'services.exe', 'pid': 460, 'username': None, 'vms': 6.42578125}
{'name': 'smss.exe', 'pid': 556, 'username': None, 'vms': 1.06640625}
{'name': 'SearchHost.exe', 'pid': 820, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 165.0546875}
{'name': 'lsass.exe', 'pid': 828, 'username': None, 'vms': 10.390625}
{'name': 'svchost.exe', 'pid': 912, 'username': None, 'vms': 4.703125}
{'name': 'csrss.exe', 'pid': 924, 'username': None, 'vms': 2.5703125}
{'name': 'SystemSettingsBroker.exe', 'pid': 952, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 7.5234375}
{'name': 'svchost.exe', 'pid': 1056, 'username': None, 'vms': 16.06640625}
{'name': 'fontdrvhost.exe', 'pid': 1068, 'username': None, 'vms': 1.8984375}
{'name': 'svchost.exe', 'pid': 1076, 'username': None, 'vms': 1.63671875}
{'name': 'WUDFHost.exe', 'pid': 1116, 'username': None, 'vms': 6.20703125}
{'name': 'svchost.exe', 'pid': 1200, 'username': None, 'vms': 12.1640625}
{'name': 'SupportAssistAgent.exe', 'pid': 1216, 'username': None, 'vms': 512.88671875}
{'name': 'WUDFHost.exe', 'pid': 1220, 'username': None, 'vms': 6.4609375}
{'name': 'svchost.exe', 'pid': 1280, 'username': None, 'vms': 2.96484375}
{'name': 'WUDFHost.exe', 'pid': 1376, 'username': None, 'vms': 12.640625}
{'name': 'svchost.exe', 'pid': 1456, 'username': None, 'vms': 1.9921875}
{'name': 'svchost.exe', 'pid': 1592, 'username': None, 'vms': 2.98046875}
{'name': 'svchost.exe', 'pid': 1604, 'username': None, 'vms': 7.77734375}
{'name': 'svchost.exe', 'pid': 1684, 'username': None, 'vms': 2.83984375}
{'name': 'svchost.exe', 'pid': 1716, 'username': None, 'vms': 6.265625}
{'name': 'chrome.exe', 'pid': 1744, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.1640625}
{'name': 'svchost.exe', 'pid': 1752, 'username': None, 'vms': 2.55859375}
{'name': 'svchost.exe', 'pid': 1760, 'username': None, 'vms': 2.3203125}
{'name': 'svchost.exe', 'pid': 1772, 'username': None, 'vms': 1.96484375}
{'name': 'svchost.exe', 'pid': 1948, 'username': None, 'vms': 3.12890625}
{'name': 'svchost.exe', 'pid': 1964, 'username': None, 'vms': 3.06640625}
{'name': 'svchost.exe', 'pid': 1992, 'username': None, 'vms': 2.8203125}
{'name': 'svchost.exe', 'pid': 2020, 'username': None, 'vms': 6.34765625}
{'name': 'MemCompression', 'pid': 2096, 'username': None, 'vms': 2.9765625}
{'name': 'svchost.exe', 'pid': 2304, 'username': None, 'vms': 2.0078125}
{'name': 'svchost.exe', 'pid': 2312, 'username': None, 'vms': 3.6875}
{'name': 'svchost.exe', 'pid': 2344, 'username': None, 'vms': 1.9375}
{'name': 'svchost.exe', 'pid': 2356, 'username': None, 'vms': 2.45703125}
{'name': 'SDXHelper.exe', 'pid': 2388, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 11.25}
{'name': 'svchost.exe', 'pid': 2428, 'username': None, 'vms': 1.8671875}
{'name': 'chrome.exe', 'pid': 2524, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 51.0}
{'name': 'igfxCUIServiceN.exe', 'pid': 2564, 'username': None, 'vms': 2.453125}
{'name': 'svchost.exe', 'pid': 2592, 'username': None, 'vms': 3.66015625}
{'name': 'dllhost.exe', 'pid': 2612, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 2.76171875}
{'name': 'NVDisplay.Container.exe', 'pid': 2792, 'username': None, 'vms': 7.421875}
{'name': 'SgrmBroker.exe', 'pid': 2824, 'username': None, 'vms': 6.296875}
{'name': 'Dell.TechHub.Instrumentation.SubAgent.exe', 'pid': 2840, 'username': None, 'vms': 106.37109375}
{'name': 'svchost.exe', 'pid': 2888, 'username': None, 'vms': 1.390625}
{'name': 'svchost.exe', 'pid': 2940, 'username': None, 'vms': 17.99609375}
{'name': 'svchost.exe', 'pid': 2976, 'username': None, 'vms': 1.328125}
{'name': 'svchost.exe', 'pid': 2980, 'username': None, 'vms': 3.24609375}
{'name': 'svchost.exe', 'pid': 3044, 'username': None, 'vms': 12.453125}
{'name': 'svchost.exe', 'pid': 3060, 'username': None, 'vms': 2.15625}
{'name': 'RuntimeBroker.exe', 'pid': 3280, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 1.70703125}
{'name': 'conhost.exe', 'pid': 3356, 'username': None, 'vms': 5.6796875}
{'name': 'svchost.exe', 'pid': 3360, 'username': None, 'vms': 12.42578125}
{'name': 'WmiPrvSE.exe', 'pid': 3440, 'username': None, 'vms': 30.6953125}
{'name': 'nvcontainer.exe', 'pid': 3556, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 38.296875}
{'name': 'svchost.exe', 'pid': 3576, 'username': None, 'vms': 2.48046875}
{'name': 'dwm.exe', 'pid': 3636, 'username': None, 'vms': 216.875}
{'name': 'msteams.exe', 'pid': 3740, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 10.87109375}
{'name': 'svchost.exe', 'pid': 3868, 'username': None, 'vms': 2.3125}
{'name': 'chrome.exe', 'pid': 3916, 'username': 'DESKTOP-KLVQ63E\\Sayali', 'vms': 43.0}
